STATE_ALPHA,Climate
WA,Moist/Humid
 OR,Moist/Humid
 ID,Moist/Humid
 NE,Moist/Humid
 OK,Moist/Humid
 KS,Moist/Humid
 MN,Moist/Humid
 MO,Moist/Humid
 IA,Moist/Humid
 WI,Moist/Humid
 IL,Moist/Humid
 MI,Moist/Humid
 IN,Moist/Humid
 KY,Moist/Humid
 TN,Moist/Humid
 MS,Moist/Humid
 AL,Moist/Humid
 GA,Moist/Humid
 FL,Moist/Humid
 OH,Moist/Humid
 NC,Moist/Humid
 SC,Moist/Humid
 WV,Moist/Humid
 VA,Moist/Humid
 PA,Moist/Humid
 MD,Moist/Humid
 NJ,Moist/Humid
 NY,Moist/Humid
 NY,Moist/Humid
 MA,Moist/Humid
 NH,Moist/Humid
 VT,Moist/Humid
 NH,Moist/Humid
 ME,Moist/Humid
 AR,Moist/Humid
 LA,Moist/Humid
 RI,Moist/Humid
 CT,Moist/Humid
MT,Dry/Semiarid
 ND,Dry/Semiarid
 SD,Dry/Semiarid
 NV,Dry/Semiarid
 CA,Dry/Semiarid
 CO,Dry/Semiarid
 NM,Dry/Semiarid
 AZ,Dry/Semiarid
 UT,Dry/Semiarid
 WY,Dry/Semiarid
 TX ,Dry/Semiarid
